Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.28,0.5554406779661017,0.0629092983175361,0.5074187715579849,0.0900774761266902,0.60605782704549,0.09483139884323884,0.624066040196813,0.07422372772670549
personal_ssl,0.44,0.7376610169491525,0.057888691450651814,0.7670455545316698,0.07593550811260245,0.7063855501974782,0.08924888050017464,0.7402572094005254,0.07049019492478409
global_ssl,0.34,0.7958474576271186,0.05194955171514008,0.9288202561247817,0.04715945034967523,0.6558870946241653,0.09007314099303254,0.7234694806438168,0.07192347106098562
