Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.36,0.7204,0.20480670346887034,0.948,0.22213812222431645,0.5056166666666667,0.3334265097500058,0.9235963041933192,0.15599776829225923
personal_ssl,0.24,0.5798,0.22253422541596043,0.948,0.22213812222431645,0.2615833333333334,0.29126705309464823,1.0,0.0
global_ssl,0.31,0.7105999999999999,0.20457147770275674,0.948,0.22213812222431645,0.48438333333333333,0.33310762753929574,0.920042643923241,0.1516847889096048
