Pipeline,Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_Std
global_supervised,0.53,0.5559722222222222,0.08276497222283592,0.0,0.0,1.0,0.0,0.4703765406628759,0.10456432563003704
global_ssl,0.52,0.630375,0.1694194124423536,0.7827999999999999,0.2443987291525341,0.503625,0.2555472645631023,0.6582959424904714,0.22132231772123384
personal_ssl,0.51,0.645625,0.16684370289644196,0.18919999999999998,0.22762079976294028,0.998,0.04469897088298564,0.6580535050899793,0.2231141359638218
