Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.19,0.2156,0.1340694395252498,0.902,0.2974634170523906,0.0,0.0,0.4344827631717876,0.27952612215985273
personal_ssl,0.34,0.565,0.1536835014522334,0.28363333333333335,0.33419544670236995,0.6317837301587301,0.16875662119869989,0.37662465244782317,0.318779608777028
global_ssl,0.42,0.2871,0.15028697939667354,0.902,0.2974634170523906,0.09241746031746031,0.10523010508037549,0.15589672861014323,0.1309094528906959
