Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.16,0.5219473684210526,0.11713410719952383,1.0,0.0,0.0,0.0,0.6337582209457209,0.13526679712918524
personal_ssl,0.28,0.6677894736842105,0.10689240170530846,1.0,0.0,0.30415847485847486,0.15787994473194544,0.7186995934620934,0.12823149597567335
global_ssl,0.41000000000000003,0.627421052631579,0.11260373901302231,0.9264854488648607,0.08715026157041286,0.3000640331890332,0.15746763693755986,0.8105960035879153,0.10417154978911647
