Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.17,0.16915384615384615,0.10756460434829689,0.902,0.29746341705239054,0.0,0.0,0.6229820776661132,0.1544098000672097
personal_ssl,0.4,0.6208461538461538,0.13598390272129313,0.6179595238095239,0.38285416953794943,0.6085426351426351,0.15063124083046198,0.7652357435616859,0.18815165892488614
global_ssl,0.32,0.4475384615384616,0.13751970428093283,0.902,0.29746341705239054,0.33453743478743475,0.14339728011625535,0.9097003852269928,0.10939996610242957
