Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.17,0.69225,0.1041551044634193,0.9330269791483028,0.0825663547549912,0.4297672535797536,0.16733002443387657,0.8851450229345817,0.08119895109346066
personal_ssl,0.39,0.7293499999999999,0.09861948744190116,0.9330269791483028,0.0825663547549912,0.5068815087690087,0.16559819313598576,0.7815254273136993,0.10879764649338712
global_ssl,0.31,0.5216,0.11342974171841487,1.0,0.0,0.0,0.0,0.8000565223869269,0.11550027184506848
