Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.49,0.617111111111111,0.16530171805315472,0.776,0.41713067256915787,0.5461777777777778,0.1860404825279825,0.5967819301260022,0.19167966353091148
personal_ssl,0.29,0.302,0.1549360848077708,0.0,0.0,0.3579420634920634,0.1793793848744558,0.08815558010145638,0.12055131920774773
global_ssl,0.41000000000000003,0.31666666666666665,0.16229958709370026,0.776,0.41713067256915787,0.19103571428571428,0.15008431564980948,0.19291543937162495,0.15383167281883106
