Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.48,0.43427272727272714,0.1472585541691581,0.34354801587301587,0.2635543129833234,0.493511075036075,0.1927916443275864,0.5468126088972011,0.17792023427253392
personal_ssl,0.0,0.37999999999999995,0.1498847578883818,0.993,0.08341437500789631,0.0,0.0,0.5299265493374254,0.1908204069443088
global_ssl,0.3,0.37999999999999995,0.1498847578883818,0.993,0.08341437500789631,0.0,0.0,0.6063120414328873,0.20496132053852872
