Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.17,0.309,0.17046484195861802,0.5059261904761904,0.2545738957689018,0.0,0.0,0.34738663897542404,0.23261902031683962
personal_ssl,0.39,0.3067142857142857,0.18075758893894397,0.3373785714285714,0.24618522033745086,0.2515928571428571,0.3000594019679023,0.3415541709934233,0.26125767864247673
global_ssl,0.25,0.6078571428571429,0.18547570723053342,0.6636142857142856,0.25159338551572336,0.5027738095238096,0.3431653795993024,0.47312218760816893,0.2863585012224625
