Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.0,0.822625,0.13113325400258055,1.0,0.0,0.0,0.0,0.16544447394819142,0.18252203030620084
personal_ssl,0.33,0.638625,0.17015489138447376,0.6645940476190476,0.18753732828368658,0.4198,0.42786605695711527,0.7919373635451702,0.21560556214721713
global_ssl,0.4,0.819875,0.13426144461650377,0.8846940476190476,0.13174334266443077,0.4198,0.42786605695711527,0.5558741960228949,0.3151910809035506
