Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.14,0.5020833333333333,0.10606585333188433,0.885868319872422,0.09246426673189102,0.06229005799841712,0.07379124233198651,0.527107127340467,0.126278123970559
personal_ssl,0.39,0.5024583333333333,0.10487968350400752,0.8330658713190835,0.10670113021010204,0.12382851349716674,0.10190507964967176,0.5099425501502998,0.11856727956185893
global_ssl,0.36,0.528875,0.10432504642958353,0.7721174227174615,0.1214022357827804,0.24913673304679498,0.1330998354454094,0.46111196453901565,0.12586129012743166
