Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.22,0.622,0.16210515275488774,0.8800015873015873,0.14743214025954232,0.18420714285714285,0.23208269836665707,0.7431181909287815,0.20224879869508075
personal_ssl,0.49,0.4537777777777777,0.16220224668014727,0.36222936507936504,0.20849361564690203,0.6016321428571427,0.3071075885829584,0.4523967122490545,0.22946786914706935
global_ssl,0.5700000000000001,0.5487777777777778,0.1643342899253379,0.8785107142857144,0.14563811926524323,0.0,0.0,0.6066320757766785,0.21070397843472896
