Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.37,0.7986111111111112,0.09752265416549577,0.0,0.0,0.8676221279537457,0.08371024133081831,0.35823970351274337,0.21262026843941703
personal_ssl,0.6900000000000001,0.9202222222222224,0.06604612392523329,0.0,0.0,1.0,0.0,0.7703717006566878,0.16069003373403248
global_ssl,0.51,0.9202222222222224,0.06604612392523329,0.0,0.0,1.0,0.0,0.832077071420649,0.11693717001989935
