Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.23,0.623375,0.17206129566077452,0.5618238095238095,0.23114316365710683,0.7239047619047619,0.3022311911422255,0.6442005579210102,0.22603903409438092
personal_ssl,0.2,0.645625,0.16815100099058028,1.0,0.0,0.0,0.0,0.6010803602016347,0.2663058636972297
global_ssl,0.3,0.55625,0.176931461990914,0.8618107142857143,0.16370040360503424,0.0,0.0,0.6506307199138648,0.21553692520333964
