Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.17,0.4658333333333334,0.1203835238315196,0.504,0.5002341793942455,0.44371756087050207,0.12396423410217514,0.6987481076832441,0.11025844269073436
personal_ssl,0.54,0.9609444444444445,0.04809778300569993,0.504,0.5002341793942455,0.9594258753501401,0.049982984598685956,0.9802505377150862,0.025780252953217755
global_ssl,0.3,0.5745,0.11681393007553419,0.504,0.5002341793942455,0.5571694022480786,0.12011464809681695,0.7794553799083735,0.09890423337047237
