Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.15,0.135,0.07764144335731031,0.942,0.2338604085575211,0.0,0.0,0.442754033967916,0.16051591674295582
personal_ssl,0.02,0.135,0.07764144335731031,0.942,0.2338604085575211,0.0,0.0,0.4563218675035163,0.18194364172604693
global_ssl,0.14,0.2039047619047619,0.08563104039252836,0.7186932539682539,0.32400926945124936,0.1167626128859101,0.0738981347306449,0.22099410129431848,0.10066625018922049
