Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.2,0.2516666666666667,0.24754943984912195,0.583,0.4933095928059319,0.0,0.0,1.0,0.0
personal_ssl,0.47000000000000003,0.7496666666666666,0.2439340836588931,0.583,0.4933095928059319,0.6513333333333332,0.3430975636176722,0.6451048951048951,0.38230633343622894
global_ssl,0.0,0.2516666666666667,0.24754943984912195,0.583,0.4933095928059319,0.0,0.0,0.6853146853146853,0.37513953821074714
