Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.17,0.69225,0.1041551044634193,0.9330269791483028,0.0825663547549912,0.4297672535797536,0.16733002443387657,0.8098630931609241,0.1032176786356759
personal_ssl,0.32,0.7293499999999999,0.09861948744190116,0.9330269791483028,0.0825663547549912,0.5068815087690087,0.16559819313598576,0.746525232565637,0.11890610105428058
global_ssl,0.27,0.5568000000000001,0.11305547992707625,1.0,0.0,0.07368561438561438,0.08514658077027121,0.8288223031013106,0.10113150001439464
