Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.13,0.5082727272727272,0.15158936211557666,0.8861217171717173,0.1361094305329468,0.0,0.0,0.5833759214150388,0.2018290313509051
personal_ssl,0.25,0.6962727272727273,0.1357851350190747,1.0,0.0,0.28755238095238095,0.2175883074634587,0.6051384311665154,0.22545201665311604
global_ssl,0.09,0.5101818181818182,0.15201816584173874,0.8902463203463205,0.13174935851572867,0.0,0.0,0.2777089204120297,0.17051223432744886
