Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.35000000000000003,0.653,0.1505113073946727,0.989,0.10435463521037239,0.45328809523809527,0.20828079995943602,0.9578300592228802,0.06895685423434256
personal_ssl,0.41000000000000003,0.36369999999999997,0.15425986550657336,0.989,0.10435463521037239,0.0,0.0,0.2714418123164331,0.23585138616181728
global_ssl,0.33,0.653,0.1505113073946727,0.989,0.10435463521037239,0.45328809523809527,0.20828079995943602,0.5656905323639397,0.20184630685080787
