Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.51,0.8390555555555557,0.0899762316696768,0.0,0.0,0.9115525892408246,0.07009518241002456,0.3821319549226729,0.2874341782061349
personal_ssl,0.59,0.9202222222222224,0.06604612392523329,0.0,0.0,1.0,0.0,0.6870780920843085,0.2219380108747145
global_ssl,0.79,0.9202222222222224,0.06604612392523329,0.0,0.0,1.0,0.0,0.8796716698399036,0.08162740761265326
