Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.46,0.4570714285714286,0.1375720313832756,0.7521921328671328,0.15494696608353173,0.0,0.0,0.6352566338677449,0.16835007615727746
personal_ssl,0.17,0.6511428571428571,0.1284479124515145,0.8326066267066267,0.1376227662339533,0.3709369769119769,0.2209052908994625,0.67841507920873,0.17802457656238557
global_ssl,0.0,0.6071428571428571,0.13694322664840308,1.0,0.0,0.0,0.0,0.6126875839177426,0.16835744588490095
