Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.0,0.6688333333333334,0.1866432340266291,0.999,0.0316227766016838,0.0,0.0,0.0566059502125076,0.11349784180188667
personal_ssl,0.0,0.6688333333333334,0.1866432340266291,0.999,0.0316227766016838,0.0,0.0,0.5026867030965392,0.2580929823456591
global_ssl,0.0,0.6688333333333334,0.1866432340266291,0.999,0.0316227766016838,0.0,0.0,0.28806618093503344,0.24684960761247537
