Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.12,0.2156,0.1340694395252498,0.902,0.2974634170523906,0.0,0.0,0.27923670502938797,0.18127658415379364
personal_ssl,0.22,0.2156,0.1340694395252498,0.902,0.2974634170523906,0.0,0.0,0.35774262661457784,0.2025138674677973
global_ssl,0.27,0.3513,0.15634178185230188,0.5882000000000001,0.39119747203783856,0.2683857142857142,0.15601629885135712,0.44294517474395523,0.21246417085542954
