Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.55,0.5006111111111111,0.11997353801010525,0.43187738095238093,0.2554437287853584,0.5263790703577469,0.144438509108241,0.5943641108546901,0.14766735170137776
personal_ssl,0.49,0.5036666666666667,0.11793163627202313,0.5758440476190476,0.2525614064590681,0.47753690623102385,0.1396326821320262,0.5328707979002439,0.1422763236679973
global_ssl,0.52,0.578388888888889,0.11944705038115566,0.41673214285714283,0.24716475750691475,0.6370344230932465,0.13536125562736226,0.4786196198738194,0.19367039911747197
