Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.35000000000000003,0.653,0.1505113073946727,0.989,0.10435463521037239,0.45328809523809527,0.20828079995943602,0.9578300592228802,0.06895685423434256
personal_ssl,0.46,0.36369999999999997,0.15425986550657336,0.989,0.10435463521037239,0.0,0.0,0.4463386938867222,0.2649548442401429
global_ssl,0.52,0.7195999999999999,0.140198058101728,0.989,0.10435463521037239,0.5575916666666667,0.2056229105009059,0.6464788868024459,0.1982389918395907
