Pipeline,Best_Threshold,Accuracy_Mean,Accuracy_STD,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,AUC_Mean,AUC_STD
global_supervised,0.23,0.5398571428571429,0.1122536404369853,1.0,0.0,0.0,0.0,0.36009241508957895,0.12671660394572012
personal_ssl,0.28,0.6723809523809523,0.10489658499196282,0.8775153354815121,0.10040406295529725,0.4331530169993405,0.16960622009198636,0.6144892767907475,0.14369466286305074
global_ssl,0.41000000000000003,0.6667142857142856,0.10476016057897444,0.8697146579727462,0.10173463927435548,0.4294007734095969,0.17296180312966747,0.5558932858458068,0.142148501616544
